核对日期,类别,文档性质,标题,项目相对路径,用途,格式,仓库状态,字节数,SHA256
2026-09-17,六、历史研究、产品参考与文本快照,方法总结＋待办记录,RAG 经验提炼与当前项目待办,reports/rag_skill_adoption_and_open_issues.zh-CN.md,看数据难点、归因、检索和评估如何处理；外部截图经验不等于本项目已复现故障。,md,Git 已跟踪,8146,1c96f0c50908c55ed2c9f290e33b9c9978e06871cd9a96d433020d53771536bf
2026-09-17,六、历史研究、产品参考与文本快照,合成场景行为检查,RAG skill 独立前向检查,reports/rag_skill_forward_review.md,三个模拟请求下的边界与处理方式；不是检索质量、RAG 准确率或通用效果证明。,md,Git 已跟踪,3437,6e0d63e30d451252694037dba959a34f36f0a47806409ae1795d6aadc48001ff
2026-09-17,配套检查输出,原始检查日志,........................................................................ [ 20%],reports/release_pytest_20260917.txt,工程或审计保存的命令输出，按文件日期、运行版本和检查范围理解。,txt,新增文档（尚未 Git 跟踪）,427,f130984ef30574b2411e0bdf004a12ea10a50e6cd8caa370fd2181ae5410dbe2
2026-09-17,配套检查输出,原始检查日志,........................................................................ [ 19%],reports/release_pytest_final_20260917.txt,工程或审计保存的命令输出，按文件日期、运行版本和检查范围理解。,txt,新增文档（尚未 Git 跟踪）,508,00d401f7fee5e2d5ee53531b58f04254ca58f623b7230e92e9ee7b63ed463581
2026-09-17,配套检查输出,原始检查日志,All checks passed!,reports/release_ruff_20260917.txt,工程或审计保存的命令输出，按文件日期、运行版本和检查范围理解。,txt,新增文档（尚未 Git 跟踪）,20,a4443afdcfb6d7363adb285762515ccf7cf50473b1a05c20c1a50f6bed4d26b0
2026-09-17,一、当前入口,本机发布证据,0.3.0：句界索引启用与三页网页,reports/release_v0_3_0_20260917.zh-CN.md,本机发布证据。索引切换、回退、两次真实 API、费用、366 项测试和浏览器检查；含未通过人工验收的语义问题。,md,新增文档（尚未 Git 跟踪）,7256,0f485e5ce778a012ddebaa3d5f9f5a32fbda028219456c78efddc37bc3a2a3c7
2026-09-17,配套检查输出,原始检查日志,........................................................................ [ 31%],reports/requirements_audit_pytest_20260916.txt,工程或审计保存的命令输出，按文件日期、运行版本和检查范围理解。,txt,新增文档（尚未 Git 跟踪）,361,31355ce349f6ae9f9c0b2bf399417979ae6894f3d29f703fd6c817b167c41a4d
2026-09-17,配套检查输出,原始检查日志,All checks passed!,reports/requirements_audit_ruff_20260916.txt,工程或审计保存的命令输出，按文件日期、运行版本和检查范围理解。,txt,新增文档（尚未 Git 跟踪）,20,a4443afdcfb6d7363adb285762515ccf7cf50473b1a05c20c1a50f6bed4d26b0
2026-09-17,配套检查输出,原始检查日志,........                                                                 [100%],reports/research_ui_additional_tests_20260917.txt,工程或审计保存的命令输出，按文件日期、运行版本和检查范围理解。,txt,新增文档（尚未 Git 跟踪）,100,61b4d470fdd42b1654ac807742369ce8830ac158f81555afd87a92d20997dca6
2026-09-17,配套检查输出,原始检查日志,..........................................................               [100%],reports/research_ui_final_callbacks_20260917.txt,工程或审计保存的命令输出，按文件日期、运行版本和检查范围理解。,txt,新增文档（尚未 Git 跟踪）,102,de68687c5cc3aae0cb0e75f1e6181e7274ccc21ddb55b299d7fbfbc808856d6b
2026-09-17,配套检查输出,原始检查日志,........................................................................ [ 16%],reports/research_ui_final_pytest_20260917.txt,工程或审计保存的命令输出，按文件日期、运行版本和检查范围理解。,txt,新增文档（尚未 Git 跟踪）,589,99ab54c36a0a2891a667c35cd4a20b3dac24969c7f55509a4fed035808da7d36
2026-09-17,配套检查输出,原始检查日志,........................................................................ [ 16%],reports/research_ui_pre_label_assertion_20260917.txt,工程或审计保存的命令输出，按文件日期、运行版本和检查范围理解。,txt,新增文档（尚未 Git 跟踪）,1161,9f1146510545f47241f045d3e80744ad76939bf78289f6939b23b5d7e76be048
2026-09-17,配套检查输出,原始检查日志,........................................................................ [ 17%],reports/research_ui_pytest_20260917.txt,工程或审计保存的命令输出，按文件日期、运行版本和检查范围理解。,txt,新增文档（尚未 Git 跟踪）,508,9e07866fe2413942eb55d242a45a2bf97b6ae6abeddae56364496e9191255c01
2026-09-17,配套检查输出,原始检查日志,All checks passed!,reports/research_ui_ruff_20260917.txt,工程或审计保存的命令输出，按文件日期、运行版本和检查范围理解。,txt,新增文档（尚未 Git 跟踪）,19,82b3e6a6c090a57601d22943bd23fca9218d1031dbe5a7b754092f9a156b4f18
2026-09-17,一、当前入口,当前本机发布证据,0.3.1：面向研究任务的网页修订,reports/research_ui_v0_3_1_20260917.zh-CN.md,当前本机发布证据。全量交叉表、标签与年度图、记录详情、归档缺口、词覆盖诊断和英文界面。,md,新增文档（尚未 Git 跟踪）,7794,6881e21f48b908e2cadceb6a0906931321a8e48ce88fa7031e55c064ff079451
2026-09-17,四、数据契约、附件与正文质量,恢复前的候选证据,94 项疑似截断：本地正文恢复预检,reports/truncation_recovery_preflight.md,说明仅凭合并 CSV／JSONL 不能完成全文恢复；后续一篇有限恢复见下面三项。,md,Git 已跟踪,12812,c127170c3fc409be574a8bae9954c9221e2b8dd003b2f0f8005c381a907dcb64
2026-09-17,四、数据契约、附件与正文质量,历史交接原件，本地配套资料,***Project Information***,sources/FA25_SP26/DATASETDOC-fa25.md,阅读旧字段字典、清理说明和远端代码线索；不把旧数据数量或待办当作当前状态。,md,新增文档（尚未 Git 跟踪）,22044,71d2ae2a1713f10cda401276189047f372840b147eea40fe86357561cc25919b
2026-09-17,四、数据契约、附件与正文质量,历史单例原件，本地配套资料,NATIVE ADS Demo Example,sources/FA25_SP26/Readings/NATIVE ADS Demo Example.docx,查阅原始正文和内嵌图片；对应的可检索文本快照见历史研究部分。,docx,新增文档（尚未 Git 跟踪）,277664,a9b9b001a7a56e39fd7457229800305c77c99b29ee5eecf1f8d20dc5b71c7fc3
2026-09-17,四、数据契约、附件与正文质量,研究手稿原件，本地配套资料,Wells Amazeen Weinberg IJPP Jan 2025_after MA,sources/FA25_SP26/Readings/Wells Amazeen Weinberg IJPP Jan 2025_after MA.docx,核对采样、人工编码和图表；研究样本与变量不直接等同当前应用。,docx,新增文档（尚未 Git 跟踪）,5225714,5e8f84a0540e519943b6654a8d0907bf19ff22e61ee9a849edfd0c88dae35fd3
